target_subjects,n_reviews,mean_stars,median_stars,mean_text_len,median_text_len
ege_math,9627,4.908694297288875,5.0,232.07946400747898,163.0
ege_russian,5635,4.932031943212068,5.0,255.51535048802128,190.0
ege_english,4195,4.932300357568534,5.0,273.461978545888,198.0
ege_informatics,2439,4.931119311193112,5.0,235.159901599016,172.0
ege_physics,2242,4.9014272970562,5.0,207.56868867082963,142.0
